일시,평균이슬점온도,평균증기압
2017-01-01,0.5,6.4
2017-01-02,3,7.6
2017-01-03,-2.5,5.1
2017-01-04,-0.8,5.8
2017-01-05,-2.2,5.2
2017-01-06,-0.7,5.8
2017-01-07,0.3,6.2
2017-01-08,0.1,6.2
2017-01-09,-3.4,5
2017-01-10,-11.3,2.7
2017-01-11,-13.5,2.2
2017-01-12,-9.2,3.4
2017-01-13,-13.3,2.3
2017-01-14,-20.4,1.2
2017-01-15,-16.6,1.7
2017-01-16,-12.9,2.3
2017-01-17,-9.3,3.1
2017-01-18,-4,4.6
2017-01-19,-6.9,3.7
2017-01-20,-7.8,3.5
2017-01-21,-6.7,3.8
2017-01-22,-14.9,1.9
2017-01-23,-15.9,1.8
2017-01-24,-13.7,2.2
2017-01-25,-11.5,2.6
2017-01-26,-5.9,4.1
2017-01-27,-10.6,2.9
2017-01-28,-11.7,2.5
2017-01-29,-3,5.1
2017-01-30,-9.8,3
2017-01-31,-12.4,2.4
2017-02-01,-12.9,2.3
2017-02-02,-10.3,3.1
2017-02-03,-3.4,4.8
2017-02-04,-3.5,4.7
2017-02-05,-2.2,5.3
2017-02-06,-9.4,3
2017-02-07,-10.1,2.8
2017-02-08,-9.5,3
2017-02-09,-13.6,2.2
2017-02-10,-15.5,1.8
2017-02-11,-12.9,2.3
2017-02-12,-9.7,3
2017-02-13,-4.1,4.6
2017-02-14,-8.1,3.4
2017-02-15,-6.2,3.9
2017-02-16,1.1,7.1
2017-02-17,-5,4.7
2017-02-18,-12.3,2.5
2017-02-19,-3.2,5
2017-02-20,-8,3.8
2017-02-21,-11.7,2.5
2017-02-22,-1.5,5.7
2017-02-23,-8.7,3.2
2017-02-24,-8.8,3.2
2017-02-25,-4.9,4.3
2017-02-26,-4.3,4.5
2017-02-27,-6.4,3.8
2017-02-28,-5.1,4.2
2017-03-01,-2.1,5.4
2017-03-02,-3.2,5
2017-03-03,-4,4.6
2017-03-04,-1.7,5.4
2017-03-05,0.5,6.4
2017-03-06,-10.5,2.8
2017-03-07,-11.9,2.5
2017-03-08,-8.1,3.4
2017-03-09,-4.7,4.4
2017-03-10,-6.2,3.9
2017-03-11,-4.2,4.6
2017-03-12,1.1,6.7
2017-03-13,-1.5,5.5
2017-03-14,-6.4,3.8
2017-03-15,-5.8,4
2017-03-16,-5.6,4.1
2017-03-17,-3.8,4.7
2017-03-18,-5.2,4.3
2017-03-19,-1.5,5.6
2017-03-20,-0.8,5.8
2017-03-21,-1.9,5.4
2017-03-22,-4.3,4.5
2017-03-23,-2.2,5.3
2017-03-24,-0.9,5.8
2017-03-25,-3.4,4.9
2017-03-26,-1.2,5.7
2017-03-27,1.2,6.7
2017-03-28,0.2,6.3
2017-03-29,0.2,6.2
2017-03-30,1.7,6.9
2017-03-31,4.9,8.7
2017-04-01,2.8,7.5
2017-04-02,0.5,6.5
2017-04-03,0.9,6.6
2017-04-04,-0.4,6
2017-04-05,5.7,9.9
2017-04-06,9.5,11.9
2017-04-07,8.6,11.2
2017-04-08,8.1,10.8
2017-04-09,6.7,10.1
2017-04-10,-4.7,4.4
2017-04-11,1.4,7
2017-04-12,-10.3,3
2017-04-13,3.2,7.8
2017-04-14,5.3,9.1
2017-04-15,9.1,11.6
2017-04-16,8.3,11.1
2017-04-17,10.6,12.9
2017-04-18,9.1,11.7
2017-04-19,1.6,7
2017-04-20,2.2,7.2
2017-04-21,5.4,9
2017-04-22,3.6,8.1
2017-04-23,1.9,7.1
2017-04-24,2.2,7.2
2017-04-25,8.6,11.3
2017-04-26,1.3,7
2017-04-27,0.4,6.5
2017-04-28,5.2,8.9
2017-04-29,4.5,8.6
2017-04-30,10.4,12.7
2017-05-01,10,12.3
2017-05-02,8.7,11.4
2017-05-03,7.4,10.4
2017-05-04,10,12.3
2017-05-05,12,14
2017-05-06,0.7,6.7
2017-05-07,5.4,9.2
2017-05-08,7.2,10.3
2017-05-09,9.8,12.4
2017-05-10,12.1,14.2
2017-05-11,13.6,15.7
2017-05-12,15.2,17.3
2017-05-13,12.8,14.8
2017-05-14,8.3,11
2017-05-15,9.2,11.6
2017-05-16,9.7,12
2017-05-17,9.4,11.8
2017-05-18,9.2,11.6
2017-05-19,8.7,11.3
2017-05-20,8.4,11.1
2017-05-21,10.5,12.7
2017-05-22,11.6,13.8
2017-05-23,14.1,16.1
2017-05-24,14.7,16.8
2017-05-25,8.6,11.5
2017-05-26,5.5,9.2
2017-05-27,8,10.8
2017-05-28,11,13.6
2017-05-29,15.8,17.9
2017-05-30,10.4,13
2017-05-31,14,16.2
2017-06-01,15,17.7
2017-06-02,8.1,10.9
2017-06-03,9.6,12
2017-06-04,8.5,11.4
2017-06-05,8.8,11.4
2017-06-06,10.8,13.1
2017-06-07,16.9,19.2
2017-06-08,15.5,17.6
2017-06-09,16.2,18.5
2017-06-10,10.3,13.3
2017-06-11,8.5,11.2
2017-06-12,9.9,12.3
2017-06-13,15.5,17.7
2017-06-14,15.4,17.7
2017-06-15,16.1,18.3
2017-06-16,16.8,19.2
2017-06-17,12.8,14.8
2017-06-18,13.7,15.9
2017-06-19,14.5,16.8
2017-06-20,14.6,16.7
2017-06-21,15.5,17.7
2017-06-22,17.2,19.7
2017-06-23,17.1,19.7
2017-06-24,16.6,19
2017-06-25,18.3,21.2
2017-06-26,20.2,23.7
2017-06-27,20.3,23.8
2017-06-28,20,23.5
2017-06-29,19.8,23.2
2017-06-30,20.3,23.9
2017-07-01,21.7,26
2017-07-02,24.6,30.9
2017-07-03,24.1,30.1
2017-07-04,23.5,28.9
2017-07-05,22.1,26.7
2017-07-06,22.8,27.7
2017-07-07,24.4,30.6
2017-07-08,24.8,31.4
2017-07-09,24.7,31.2
2017-07-10,24.6,30.9
2017-07-11,23.9,29.8
2017-07-12,24,29.9
2017-07-13,23.1,28.4
2017-07-14,24.1,30
2017-07-15,24,29.9
2017-07-16,24.5,30.8
2017-07-17,24.5,30.7
2017-07-18,24.2,30.2
2017-07-19,23.5,29
2017-07-20,24.9,31.4
2017-07-21,26.3,34.3
2017-07-22,26.6,34.8
2017-07-23,26.6,34.8
2017-07-24,25.5,32.6
2017-07-25,25,31.6
2017-07-26,20.2,23.6
2017-07-27,19.8,23.3
2017-07-28,25.1,31.8
2017-07-29,23.7,29.4
2017-07-30,22.6,27.4
2017-07-31,23.8,29.4
2017-08-01,24.4,30.7
2017-08-02,25.9,33.4
2017-08-03,22.1,26.9
2017-08-04,22.1,26.6
2017-08-05,25.1,32
2017-08-06,25.6,32.8
2017-08-07,24.6,31
2017-08-08,22.1,26.7
2017-08-09,22.5,27.2
2017-08-10,24.3,30.4
2017-08-11,23.8,29.6
2017-08-12,21.3,25.3
2017-08-13,20.4,24
2017-08-14,21.1,25.1
2017-08-15,21.9,26.3
2017-08-16,22.5,27.2
2017-08-17,22.8,27.8
2017-08-18,22.8,27.7
2017-08-19,23.3,28.6
2017-08-20,23.3,28.6
2017-08-21,24,29.9
2017-08-22,23.9,29.7
2017-08-23,25.9,33.4
2017-08-24,25.5,32.7
2017-08-25,19,22.6
2017-08-26,14.5,16.8
2017-08-27,17.1,19.5
2017-08-28,18.7,21.6
2017-08-29,10.4,13.1
2017-08-30,11.2,13.8
2017-08-31,15.5,17.7
2017-09-01,14,16.1
2017-09-02,16.4,18.7
2017-09-03,17,19.4
2017-09-04,14.5,16.6
2017-09-05,16,18.2
2017-09-06,18.3,21
2017-09-07,18.8,21.8
2017-09-08,19.4,22.6
2017-09-09,19.8,23.1
2017-09-10,19.9,23.3
2017-09-11,18.9,21.8
2017-09-12,14.5,17
2017-09-13,12.3,14.5
2017-09-14,13.4,15.4
2017-09-15,12.1,14.2
2017-09-16,12,14
2017-09-17,14.1,16.2
2017-09-18,15.7,17.9
2017-09-19,19.9,23.3
2017-09-20,10.4,12.8
2017-09-21,12.6,14.6
2017-09-22,14.3,16.4
2017-09-23,17.7,20.3
2017-09-24,19.9,23.3
2017-09-25,17.5,20
2017-09-26,16.9,19.4
2017-09-27,16.6,19
2017-09-28,8.8,11.8
2017-09-29,4.5,8.5
2017-09-30,13.1,15.3
2017-10-01,15,17
2017-10-02,15.2,17.4
2017-10-03,7.5,10.6
2017-10-04,7.8,10.7
2017-10-05,10.7,12.9
2017-10-06,12.4,14.6
2017-10-07,16.4,18.7
2017-10-08,17.1,19.5
2017-10-09,16.6,19.1
2017-10-10,18.4,21.2
2017-10-11,13.1,15.4
2017-10-12,8,10.8
2017-10-13,5.2,8.9
2017-10-14,2.8,7.6
2017-10-15,5.5,9.2
2017-10-16,7,10.2
2017-10-17,7,10
2017-10-18,9.2,11.6
2017-10-19,8.9,11.4
2017-10-20,9,11.6
2017-10-21,8.5,11.1
2017-10-22,7.1,10.1
2017-10-23,3.8,8.1
2017-10-24,6.1,9.5
2017-10-25,8,10.7
2017-10-26,6.6,9.8
2017-10-27,8.7,11.3
2017-10-28,8.8,11.3
2017-10-29,1.4,7.6
2017-10-30,-6.2,3.9
2017-10-31,2.7,7.6
2017-11-01,9.9,12.2
2017-11-02,12.5,14.5
2017-11-03,6.4,10.2
2017-11-04,0,6.2
2017-11-05,2.3,7.3
2017-11-06,5.9,9.3
2017-11-07,9.1,11.7
2017-11-08,6.6,10.6
2017-11-09,-0.1,6.1
2017-11-10,4.5,8.8
2017-11-11,-3.3,4.8
2017-11-12,0.2,6.2
2017-11-13,3.4,8
2017-11-14,-2.1,5.4
2017-11-15,-5.6,4.1
2017-11-16,-9.3,3.1
2017-11-17,-6.1,4
2017-11-18,-13.7,2.3
2017-11-19,-12.6,2.4
2017-11-20,-4.7,4.5
2017-11-21,-3.7,4.7
2017-11-22,-2.4,5.3
2017-11-23,-5.7,4.1
2017-11-24,-3.8,4.8
2017-11-25,1.8,7.3
2017-11-26,-1,5.9
2017-11-27,-3.3,4.8
2017-11-28,1.4,6.8
2017-11-29,-7.1,4.2
2017-11-30,-17,1.7
2017-12-01,-11,3
2017-12-02,-3.8,4.6
2017-12-03,2.5,7.4
2017-12-04,-8.4,3.6
2017-12-05,-14.2,2.1
2017-12-06,-3,5
2017-12-07,-5.3,4.5
2017-12-08,-13.4,2.2
2017-12-09,-7.9,3.4
2017-12-10,-2.2,5.4
2017-12-11,-16.4,1.7
2017-12-12,-18,1.5
2017-12-13,-18.8,1.4
2017-12-14,-15,1.9
2017-12-15,-11.1,2.7
2017-12-16,-15.3,2
2017-12-17,-15.7,1.9
2017-12-18,-4.5,4.4
2017-12-19,-13,2.3
2017-12-20,-6.3,4.1
2017-12-21,-3.8,4.6
2017-12-22,-1.3,5.6
2017-12-23,2.5,7.3
2017-12-24,1.8,7.1
2017-12-25,-11.4,2.6
2017-12-26,-14,2.5
2017-12-27,-18.8,1.4
2017-12-28,-10.3,2.9
2017-12-29,-2.6,5.1
2017-12-30,-0.1,6.1
2017-12-31,-7,3.9
