,a,b,c
0,3,4,3
1,3,3,2
2,4,4,4
3,2,2,2
4,2,2,2
5,3,3,3
6,4,4,4
7,2,2,2
8,3,2,3
9,4,2,3
10,5,5,5
11,4,4,5
12,1,1,1
13,3,2,2
14,2,2,2
15,2,2,2
16,3,3,3
17,2,3,3
18,3,3,3
19,4,4,4
20,3,2,3
21,3,4,4
22,2,3,3
23,4,4,4
24,4,3,3
25,3,2,3
26,2,3,3
27,4,3,3
28,3,2,2
29,3,2,3
30,3,3,2
31,2,3,3
32,3,4,4
33,3,2,2
34,3,4,4
35,3,1,1
36,2,3,3
37,3,3,3
38,4,4,4
39,3,3,3
40,3,3,3
41,3,3,3
42,2,3,3
43,3,2,1
44,3,3,2
45,3,4,3
46,4,3,4
47,3,3,3
48,3,3,2
49,3,2,2
50,2,3,2
51,4,3,4
52,3,3,3
53,3,3,3
54,2,1,1
55,4,3,3
56,3,4,3
57,3,4,3
58,4,5,5
59,3,3,3
60,2,3,3
61,4,4,4
62,3,3,3
63,3,3,3
64,3,3,3
65,3,3,3
66,3,2,3
67,2,3,3
68,3,4,4
69,3,3,3
70,3,3,3
71,3,3,3
72,4,3,3
73,3,3,3
74,3,3,3
75,1,3,3
76,2,2,2
77,1,1,1
78,4,4,4
79,3,3,3
80,4,5,4
81,1,4,4
82,2,2,2
83,3,3,3
84,1,4,4
85,1,4,4
86,1,3,4
87,2,3,3
88,3,4,2
89,4,4,4
90,3,2,3
91,1,4,4
92,1,4,4
93,1,4,3
94,1,4,4
95,1,2,2
96,4,4,3
97,1,3,4
98,1,4,4
99,1,4,4
100,5,5,4
101,3,3,3
102,4,3,4
103,3,3,3
104,2,2,2
105,4,3,4
106,2,3,3
107,3,2,2
108,4,3,3
109,3,3,4
110,3,3,3
111,2,2,2
112,4,3,4
113,4,4,4
114,3,2,3
115,1,2,2
116,1,3,2
117,1,3,3
118,1,3,3
119,1,5,5
120,1,2,2
121,3,3,3
122,3,2,2
123,3,3,1
124,2,3,3
125,1,2,2
126,4,4,4
127,4,4,4
128,4,5,4
129,3,4,4
130,4,3,3
131,3,3,3
132,5,5,5
133,3,4,3
134,3,3,3
135,3,4,4
136,2,3,3
137,4,4,4
138,3,3,3
139,3,3,3
140,3,4,3
141,3,4,4
142,3,3,3
143,4,3,3
144,2,3,4
145,3,3,3
146,3,3,3
147,4,4,4
148,3,3,3
149,3,2,2
150,1,1,1
151,2,3,3
152,4,4,3
153,3,3,3
154,4,4,4
155,2,3,3
156,2,3,3
157,4,4,4
158,4,4,4
159,3,4,4
160,4,4,3
161,3,4,3
162,3,3,3
163,3,3,3
164,3,2,3
165,3,3,3
166,2,2,2
167,1,2,2
168,3,2,3
169,3,2,2
170,3,3,3
171,2,3,3
172,2,2,3
173,3,3,3
174,2,2,3
175,3,3,3
176,2,2,3
177,2,2,2
178,3,3,4
179,4,4,4
180,3,2,2
181,3,2,2
182,3,3,3
183,3,3,3
184,3,3,3
185,3,3,3
186,3,4,3
187,3,3,2
188,4,3,4
189,3,2,3
190,4,4,3
191,4,4,3
192,3,2,3
193,3,2,3
194,2,3,2
195,3,3,3
196,3,3,3
197,3,2,3
198,3,3,3
199,4,4,4
200,4,4,4
201,3,4,3
202,5,5,4
203,4,4,4
204,1,2,2
205,3,3,2
206,1,1,2
207,5,5,4
208,3,2,2
209,5,4,5
210,1,1,1
211,4,4,3
212,3,3,3
213,5,5,4
214,4,4,4
215,3,3,3
216,3,4,4
217,4,4,4
218,4,4,4
219,3,3,3
220,3,3,2
221,4,4,4
222,3,3,3
223,1,1,1
224,4,4,4
225,3,3,3
226,3,4,3
227,4,4,4
228,3,3,3
229,4,4,3
230,3,3,4
231,4,4,4
232,3,3,3
233,4,4,4
234,3,3,3
235,3,4,2
236,4,3,4
237,3,4,3
238,3,4,4
239,4,3,3
240,1,2,2
241,3,3,3
242,4,4,3
243,4,4,4
244,3,3,4
245,3,3,2
246,4,4,5
247,4,3,3
248,4,4,4
249,2,3,3
250,4,3,3
251,3,3,4
252,4,4,4
253,3,3,2
254,2,4,4
255,3,3,3
256,3,3,3
257,3,3,3
258,1,2,2
259,3,4,4
260,3,4,3
261,4,4,4
262,4,4,4
263,2,3,3
